,text
232,Anitta assinado a carteira de trabalho de homofóbicos
233,@lipexanitta @alfonsolacruzz @Anitta 😳😳😳😳 @Anitta faz alguma coisa! R A P I D O
234,"@darlingdarkn3ss @forumpandlr exatamente olha o insta dele q veja quantas famosas seguem, só a anitta mesmo..."
235,@poxawiu @aIbertzin krlh tu n ouve anitta ou é mto chartfã
236,"a casa da minha mãe é enorme e muito boa, é o aluguel é quase de graça, FAZ ALGUMA COISA ANITTA"
237,"É triste eu abrir o twitter e ver isso logo no mês do orgulho. 
Anitta."
238,@AnittaLatam Começou de novo os haters infernizar
239,"@SpliSouth Da onde tu tirou isso?
Foi o contrário, Anitta disse que não tem remix nenhum! 

Ela apenas gostou da música e por isso havia postado.."
240,@siteptbr @Anitta Da próxima vez contrate um boy gostoso mas que tenha educação!
241,"@forumpandlr Gente, aconteceu uma situação bem estranha! Antes do clipe da Anitta saí, eu tinha seguido esse boy, não mandei mensagem e nem nada! Algum tempo depois, ele apareceu para mim de novo, eu achei estranho! Mas, minha teoria é que ele me removeu dos seguidores dele! Não fiz nada kkk"
242,"@siteptbr É claro né, anda com a Anitta esperava oq?"
243,"@forumpandlr Entrou pra mídia por causa da Anitta, porque se não fosse ela, ninguém iria saber quem é ele. 
Agora recebe um e aí no direct e começa a dar show?! 🤣🤣"
244,A divulgação pesadíssima da Freaks esse sábado entre os fãs da @Anitta 🔥
245,@Br1tneySaga @tensionkylie É pra deixar o povo curioso moh https://t.co/XkvW9M5mcu
246,@UaiSobral eu não sei em que momento específico eu soube mas sempre soube kkkk tipo o da anitta
247,@forumpandlr e a anitta mamou essa merda ainda aquela piranha
248,@alfonsolacruzz @Anitta Poxaaaa que música gostosa!! @Anitta cuida mulher se joga nesse reggaeton.
249,@siteptbr Homofóbico igual a Anitta
250,"@splitfloat Se até a Anitta pode ser famosa, qualquer um consegue gerenciando bem."
251,"@siteptbr Entrou pra mídia por causa da Anitta, porque se não fosse ela, ninguém iria saber quem é ele. 
Agora recebe um e aí no direct e começa a dar show?! 🤣🤣"
252,"@forumpandlr E digo maais☝️, se eu fosse ele eu pelo menos tentava dizer q foi fake,  q n tem preconceito e q amas os gays, já q são esses o maior público q da engajamento a ele, e a gente sabe q engajamento é dinheiro. Antes da anitta ele nem era conhecido, e só gay acompanha a Anitta."
253,"@forumpandlr @Anitta @QGdaAnitta  SE TIVER MAIS PARTICIPAÇÕES EM CLIPES, CANCELA"
254,"Gente não vou fica mais aqui sério não consigo mais, voltarei quando tive algo muito importante da Anitta https://t.co/kQVzDC3TEJ"
255,@QGdoPOP já tá valendo mais que toda a discografia da anitta
256,@julanitta Ele não vai te da uma chance La acorda
257,Kinga demais
258,"o quão lgbt cult br 🇧🇷 você é?

Alcione✅️
Anitta ❌
Ludmilla ✅
Claudia Leitte ❌
Daniela Mercury ❌️
Margareth Menezes❌✅
Ivete Sangalo  ✅✅
Zélia Duncan ✅
Ana Carolina ✅✅✅
IZA✅️
Pabllo Vittar ✅
Sandy ✅❌
Glória Groove ✅
Bethânia ✅️❌
Gal Costa ✅️✅
Joelma ❌"
259,@aIbertzin @siteptbr Nunca falei que a culpa era da anitta kkkkkkkkkk mas pelo visto a carapuça serviu ne
260,Vai ser incrível essa Freaks Especial Anitta 🔥🔥🔥
261,bj da anitta https://t.co/bwsgnXnjDt
262,@victorxdrop EU TO PASSANDO MAL https://t.co/TNH931gT0o
263,@siteptbr Tinha q ter o dedo podre da Anitta no meio
264,"@forumpandlr aff, por isso a anitta flopou"
265,@alfonsolacruzz @Anitta É O QUÊ??? 😳
266,@Dojaeanitta @QGdoPOP e dando outstream em tudo da doja e da anitta somados
